13	4.270754	9.538588	-8.826116
14	4.097176	10.400862	-8.427891
15	4.177256	10.095634	-8.722243
16	6.789727	7.014856	-4.355874
18	8.053330	6.177694	-2.905896
19	6.313457	1.758752	-11.649504
20	3.510115	8.056933	-11.044215
21	4.359485	10.348924	-7.600525
23	5.536520	8.983655	-6.647663
24	10.985023	-2.979749	2.968795
25	7.321904	6.583261	-1.942499
26	3.610557	11.359994	-7.988293
33	3.835549	10.847743	-7.345570
34	4.316572	11.279099	-10.153731
35	-12.181481	3.167454	-6.689510
36	6.329512	1.413469	-9.516573
38	-1.849641	3.945012	-16.785400
39	10.980322	-2.678997	2.661290
40	6.925609	0.739341	-8.641329
41	6.330134	1.413497	-9.514682
43	6.331176	1.412015	-9.512511
44	3.776959	13.603851	-16.247025
45	2.271772	16.136356	-18.944407
46	3.380343	8.812008	-8.848063
48	2.112175	16.477274	-18.743088
49	10.691385	-2.977807	3.238293
50	2.286962	15.858525	-18.140053
51	2.251183	16.461411	-18.693344
53	2.051044	16.087042	-18.905128
54	2.048783	16.091656	-18.910858
55	2.365942	16.245548	-18.891342
56	5.772984	8.256774	-2.850779
58	1.994244	16.383945	-18.681677
63	1.929814	16.260820	-18.802107
64	2.364312	16.375326	-18.795752
65	2.408830	15.235358	-17.257023
68	2.510537	15.592431	-17.998571
69	4.949087	10.622148	-10.486695
70	6.134496	10.930191	-6.600974
71	1.814052	6.184659	-6.786283
6	0.248109	15.411082	8.434991
7	2.195625	15.023330	6.962427
73	7.758991	7.037259	1.030355
74	8.097670	7.153615	-4.635826
75	3.910050	10.946681	2.196543
76	-0.388065	16.122711	8.840829
78	7.244494	7.820301	1.405450
79	7.044023	7.409752	0.168749
80	4.452232	8.688078	2.820350
82	0.677952	16.283976	7.544592
84	7.126485	7.517069	-0.028692
85	6.875972	6.804096	-2.980157
86	7.886895	13.733751	-8.219597
87	3.665331	11.358032	-6.137219
89	1.433966	15.006948	7.289515
90	7.009730	7.786010	-3.405428
91	-0.789390	15.932006	9.216563
92	-0.584576	28.367979	-4.454459
94	-9.316482	8.298762	-12.577493
95	-9.144483	8.101422	-12.639620
